trial_id,controller,noise_std,seed,success,time_to_goal,path_length,efficiency,final_error,goal_x,goal_y
0,proportional,0.1,0,True,5.04999999999999,6.426725685724643,0.9112021667758656,0.1439967520511673,1.368761715425752,1.1487487197567618
1,proportional,0.0,0,True,4.899999999999991,6.396349478769509,0.9157452000485199,0.1426167891415429,1.368761715425752,1.1487487197567618
2,proportional,0.0,1,True,3.5499999999999954,4.42234296352124,0.8843599592720309,0.14462605308353402,5.606394622302311,9.554173266933418
3,proportional,0.0,2,True,3.5499999999999954,4.683196098982554,0.9586458386274554,0.14587035553935224,8.328031665348522,1.827243479215872
4,proportional,0.0,3,True,4.249999999999993,4.791675154838384,0.8922031476229177,0.14270036044512996,1.7708425042926192,3.131294559364897
5,proportional,0.0,4,True,3.149999999999997,3.8466903449266674,0.9999616754195326,0.1422650598529515,9.487504950151308,5.601947975329255
6,proportional,0.0,5,True,3.149999999999997,3.8957901500723002,0.9635044937786527,0.14718339641359068,8.245026313708422,8.271467107628443
7,proportional,0.0,6,True,3.399999999999996,4.413307277950063,0.99652699234242,0.14881844732784075,9.887004911678199,6.694806453464315
8,proportional,0.0,7,True,3.2499999999999964,4.038166623192905,0.8918901215276991,0.14641749414783717,6.625859199442003,9.074924208726179
9,proportional,0.0,8,True,3.999999999999994,5.027894431700948,0.8960536272803569,0.14850559364523974,3.9427504894500465,9.88549159004133
10,proportional,0.0,9,True,3.099999999999997,3.762200527993391,0.98381072566824,0.14383893859477317,8.832242835730762,3.5813548817879983
11,proportional,0.0,10,True,3.599999999999995,4.79589403763385,0.9857944178670693,0.1471073659058004,9.604015386660778,2.869136290712322
12,proportional,0.0,11,True,3.999999999999994,3.688136981605335,0.8665526634057059,0.14690956859813875,2.1571318249227964,5.493500761961035
13,proportional,0.0,12,True,4.099999999999993,4.983386190442855,0.8955058071836556,0.14123926145575993,3.257420122976015,9.520776485734821
14,proportional,0.0,13,True,3.4999999999999956,4.568143699170191,0.9716638015697104,0.14438748016887057,8.78317828314928,8.69772263438853
15,proportional,0.0,14,True,2.7499999999999982,3.1192331220352614,0.9878995609227341,0.1495709700334703,8.478849870002003,4.248520001508309
16,proportional,0.0,15,True,2.9499999999999975,3.4689758663695143,0.9180957545489234,0.14503187886831728,7.2346903116863714,8.342354002024518
17,proportional,0.0,16,True,4.099999999999993,4.264259614009016,0.8810508867994896,0.14378128529617895,1.8466644291537209,4.1327159539239595
18,proportional,0.0,17,True,3.399999999999996,4.344412227859251,0.9694529057964331,0.1420636397010663,8.605673135181114,2.448757820521963
19,proportional,0.0,18,True,3.899999999999994,4.613040889231676,0.8884457195374652,0.1435807195763131,3.5274099523240308,1.744524261983047
20,proportional,0.0,19,True,3.599999999999995,4.26594037551369,0.8809461296975762,0.14117254866834866,4.783409161563347,9.332824103350333
21,proportional,0.0,20,True,3.999999999999994,3.756518778298697,0.8687052159834213,0.14729035205157123,2.095477233187977,5.703475165470392
22,proportional,0.0,21,True,3.349999999999996,4.322134917330749,0.9260446734051345,0.14978946450141126,7.388210713675827,1.8018808562998805
23,proportional,0.0,22,True,4.099999999999993,4.311925871584127,0.881988847290198,0.14824625579603104,1.7970253593515102,6.878725188408279
24,proportional,0.0,23,True,4.299999999999993,5.20025230285984,0.8990134622486811,0.1474806158687128,2.157798018858726,2.023372451181964
